mysql> select story_url,completed from dwg_stories ORDER by 1;
+----------------------------------------------------+-----------+
| story_url                                          | completed |
| /derby/2019/KathyTheConcertAShor20161227.html      |         1 |
| /derby/2019/LinaDeathbypotato20170523.html         |         1 |
| /derby/2019/LoriANightAtRosings20160720.html       |         1 |
| /derby/2019/LucieHerLadyship20170601.html          |         1 |
| /derby/2019/MarciAdvantageouslyH20170426.html      |         1 |
| /derby/2019/MarciIgnoranceandIro20170331.html      |         1 |
| /derby/2019/MichelleAnTheAssembly20171205.html     |         1 |
| /derby/2019/MissESweetMissJaneFairfax20170210.html |         0 |
| /derby/2019/MorganaACircumstanceof20171026.html    |         1 |
| /derby/2019/MorganaCunningandCompr20170909.html    |         1 |
| /derby/2019/MorganaMoreJustifiedIn20171001.html    |         1 |
| /derby/2019/MorganaPanicandPreconc20190626.html    |         1 |
| /derby/2019/MorganaPawsandPrejudic20190226.html    |         1 |
| /derby/2019/MorganaTheDoctor20180116.html          |         1 |
| /derby/2019/MrsRadclifTheHoleintheRoa20161031.html |         1 |
| /derby/2019/NnSCardswithMadame20171031.html        |         1 |
| /derby/2019/NnSHigherStandards20171119.html        |         1 |
| /derby/2019/NnSIveHeardItSaid20181215.html         |         1 |
| /derby/2019/NnSMrRushworthsCom20171214.html        |         1 |
| /derby/2019/NnSOBaronetOTannen20181206.html        |         1 |
| /derby/2019/NnSScoundrels20170417.html             |         1 |
| /derby/2019/NnSSneakingJAOCTGO20181031.html        |         1 |
| /derby/2019/NnSTheChaliceofSor20161101.html        |         1 |
| /derby/2019/NnSTheChurchillsof20170901.html        |         1 |
| /derby/2019/NnSTheJustApplicat20180402.html        |         1 |
| /derby/2019/PeterAnOfferofPruden20170406.html      |         1 |
| /derby/2019/PeterBeyondLongbourn20170517.html      |         0 |
| /derby/2019/PeterRegretsIHaveBut20170304.html      |         1 |
| /derby/2019/RobinelizaLoveChildofColo20170312.html |         0 |
| /derby/2019/RobinelizaTwelfthNightCak20180522.html |         1 |
| /derby/2019/SandyWALittleAlterati20160815.html     |         1 |
| /derby/2019/SarahWaldoATruthUniversal20170909.html |         1 |
| /derby/2019/SarahXIntheYearSixabr20160821.html     |         1 |
| /derby/2019/SarahXIntheYearSixano20160930.html     |         1 |
| /derby/2019/ShannagAKindlyAunt20160729.html        |         1 |
| /derby/2019/ShannagKindlyRelations20180327.html    |         1 |
| /derby/2019/StIreneCurseoftheCatLa20161102.html    |         1 |
| /derby/2019/SuzanneOTheWayItOughtto20160919.html   |         1 |
| /derby/2019/TheEsilWitUnfinishedbusin20161031.html |         1 |
| /derby/2019/TroTotheLakesWeGo20161124.html         |         1 |
| /derby/2019/TroWiththeServants20170404.html        |         1 |
| /derby/2019/WadehCircles20170222.html              |         1 |
| /derby/2019/WadehMenandBoysAPrid20170124.html      |         1 |
| /derby/adelaide.htm                                |         1 |
| /derby/adelaide2.htm                               |         1 |
| /derby/adelaide3.htm                               |         1 |
| /derby/adelaide4.htm                               |         1 |
| /derby/adelaide5.htm                               |         1 |
| /derby/akila.htm                                   |         1 |
| /derby/ali2.htm                                    |         1 |
| /derby/ali3.htm                                    |         1 |
| /derby/aliciajen1.htm                              |      NULL |
| /derby/aliciam25.htm                               |         1 |
| /derby/alison.htm                                  |         1 |
| /derby/allisonom4d.htm                             |      NULL |
| /derby/allisonom5.htm                              |         1 |
| /derby/allisonom6.htm                              |      NULL |
| /derby/amya2.htm                                   |         1 |
| /derby/amyab.htm                                   |      NULL |
| /derby/amyanw.htm                                  |         1 |
| /derby/amyanw2.htm                                 |         1 |
| /derby/amyanw3.htm                                 |         1 |
| /derby/amyanw4b.htm                                |         1 |
| /derby/amybeth.htm                                 |         1 |
| /derby/amyj4.htm                                   |         1 |
| /derby/amyrob.htm                                  |         1 |
| /derby/amytat.htm                                  |         1 |
| /derby/angayle.htm                                 |      NULL |
| /derby/angayle2.htm                                |      NULL |
| /derby/angelika.htm                                |         1 |
| /derby/anita5.htm                                  |      NULL |
| /derby/anita6.htm                                  |         1 |
| /derby/anitam.htm                                  |         1 |
| /derby/anitamisra.htm                              |         1 |
| /derby/anneab.htm                                  |      NULL |
| /derby/anneb.htm                                   |         1 |
| /derby/annette6.htm                                |         1 |
| /derby/annr3.htm                                   |      NULL |
| /derby/annr4.htm                                   |         1 |
| /derby/annr5.htm                                   |         1 |
| /derby/april.htm                                   |         1 |
| /derby/ariellad.htm                                |      NULL |
| /derby/autumnd2.htm                                |      NULL |
| /derby/autumndf.htm                                |         1 |
| /derby/berna5.htm                                  |         1 |
| /derby/berna8.htm                                  |         1 |
| /derby/berna9.htm                                  |         1 |
| /derby/beth7.htm                                   |         1 |
| /derby/betham2.htm                                 |         1 |
| /derby/bethamf.htm                                 |         1 |
| /derby/bethw2.htm                                  |         1 |
| /derby/bethw4.htm                                  |         1 |
| /derby/bethw7.htm                                  |         1 |
| /derby/bethw8.htm                                  |         1 |
| /derby/bethw9.htm                                  |         1 |
| /derby/buzzy.htm                                   |      NULL |
| /derby/cand1d.htm                                  |      NULL |
| /derby/cathyek.htm                                 |      NULL |
| /derby/cathyek2.htm                                |         1 |
| /derby/cathyek3.htm                                |      NULL |
| /derby/cathyek4.htm                                |         1 |
| /derby/cathyek5.htm                                |         1 |
| /derby/cathyk.htm                                  |      NULL |
| /derby/cecilia2.htm                                |         1 |
| /derby/cecilia3.htm                                |         1 |
| /derby/cecilia4.htm                                |         1 |
| /derby/cecilia6.htm                                |         1 |
| /derby/cecilia7b.htm                               |         1 |
| /derby/cecilia8.htm                                |         1 |
| /derby/cecilia9.htm                                |         1 |
| /derby/charlottep.htm                              |         1 |
| /derby/chiaen.htm                                  |         1 |
| /derby/christinet.htm                              |      NULL |
| /derby/christinet2.htm                             |      NULL |
| /derby/cjma.htm                                    |         1 |
| /derby/cjma2.htm                                   |         1 |
| /derby/claire16.htm                                |         1 |
| /derby/cpauline.htm                                |         1 |
| /derby/cpauline2.htm                               |         1 |
| /derby/cpauline3.htm                               |      NULL |
